
# Surface 0 of 1 surfaces

# Curve title: ""Gradient-descent_contourtmp0.dat""

# Contour 0, label:      900
-5 -4.82446  900 
-4.6129 -5  900 


# Contour 1, label:      850
-5 -4.5994  850 
-4.58334 -4.78348  850 
-4.16668 -4.97132  850 
-4.10313 -5  850 


# Contour 2, label:      800
-5 -4.36276  800 
-4.58334 -4.55153  800 
-4.51324 -4.58334  800 
-4.16668 -4.73566  800 
-3.75002 -4.92185  800 
-3.57641 -5  800 


# Contour 3, label:      750
-5 -4.1228  750 
-4.90386 -4.16668  750 
-4.58334 -4.30822  750 
-4.16668 -4.49515  750 
-3.97182 -4.58334  750 
-3.75002 -4.6805  750 
-3.33336 -4.86479  750 
-3.03214 -5  750 


# Contour 4, label:      700
-5 -3.87133  700 
-4.58334 -4.05879  700 
-4.34637 -4.16668  700 
-4.16668 -4.24577  700 
-3.75002 -4.43055  700 
-3.41154 -4.58334  700 
-3.33336 -4.61747  700 
-2.9167 -4.79954  700 
-2.50004 -4.98567  700 
-2.46793 -5  700 


# Contour 5, label:      650
-5 -3.61175  650 
-4.69821 -3.75002  650 
-4.58334 -3.80084  650 
-4.16668 -3.98587  650 
-3.76852 -4.16668  650 
-3.75002 -4.17479  650 
-3.33336 -4.35709  650 
-2.9167 -4.5436  650 
-2.82815 -4.58334  650 
-2.50004 -4.72548  650 
-2.08338 -4.90904  650 
-1.87888 -5  650 


# Contour 6, label:      600
-5 -3.34461  600 
-4.58334 -3.52962  600 
-4.16668 -3.71918  600 
-4.09903 -3.75002  600 
-3.75002 -3.90332  600 
-3.33336 -4.08992  600 
-3.16337 -4.16668  600 
-2.9167 -4.27406  600 
-2.50004 -4.45766  600 
-2.21911 -4.58334  600 
-2.08338 -4.6419  600 
-1.66672 -4.82248  600 
-1.26626 -5  600 


# Contour 7, label:      550
-5 -3.06046  550 
-4.58334 -3.24979  550 
-4.40125 -3.33336  550 
-4.16668 -3.43697  550 
-3.75002 -3.6233  550 
-3.4712 -3.75002  550 
-3.33336 -3.81033  550 
-2.9167 -3.99363  550 
-2.53228 -4.16668  550 
-2.50004 -4.18065  550 
-2.08338 -4.36089  550 
-1.66672 -4.54559  550 
-1.58176 -4.58334  550 
-1.25006 -4.72516  550 
-0.8334 -4.90655  550 
-0.621013 -5  550 


# Contour 8, label:      500
-5 -2.76551  500 
-4.67301 -2.9167  500 
-4.58334 -2.95654  500 
-4.16668 -3.14216  500 
-3.75002 -3.33285  500 
-3.74889 -3.33336  500 
-3.33336 -3.51544  500 
-2.9167 -3.70284  500 
-2.81224 -3.75002  500 
-2.50004 -3.88547  500 
-2.08338 -4.06954  500 
-1.86611 -4.16668  500 
-1.66672 -4.25234  500 
-1.25006 -4.43305  500 
-0.910491 -4.58334  500 
-0.8334 -4.61614  500 
-0.41674 -4.79346  500 
-7.999e-05 -4.9753  500 
 0.0565379 -5  500 

# Contour 9, label: 
 4.48914  4.99984  500 
 4.58318  4.95651  500 
 4.99984  4.76537  500 


# Contour 10, label:      450
-5 -2.45728  450 
-4.90804 -2.50004  450 
-4.58334 -2.64467  450 
-4.16668 -2.83423  450 
-3.98736 -2.9167  450 
-3.75002 -3.02132  450 
-3.33336 -3.20756  450 
-3.05687 -3.33336  450 
-2.9167 -3.39451  450 
-2.50004 -3.57739  450 
-2.11656 -3.75002  450 
-2.08338 -3.76435  450 
-1.66672 -3.94384  450 
-1.25006 -4.12822  450 
-1.16338 -4.16668  450 
-0.8334 -4.307  450 
-0.41674 -4.48769  450 
-0.198805 -4.58334  450 
-7.999e-05 -4.66698  450 
 0.41658 -4.84394  450 
 0.775945 -5  450 

# Contour 11, label: 
 3.80349  4.99984  450 
 4.16652  4.83305  450 
 4.58318  4.64626  450 
 4.72488  4.58318  450 
 4.99984  4.45549  450 


# Contour 12, label:      400
-5 -2.1287  400 
-4.58334 -2.31639  400 
-4.18734 -2.50004  400 
-4.16668 -2.50921  400 
-3.75002 -2.69358  400 
-3.33336 -2.88353  400 
-3.2608 -2.9167  400 
-2.9167 -3.06703  400 
-2.50004 -3.25332  400 
-2.32292 -3.33336  400 
-2.08338 -3.43686  400 
-1.66672 -3.61945  400 
-1.37448 -3.75002  400 
-1.25006 -3.8032  400 
-0.8334 -3.98205  400 
-0.41674 -4.1661  400 
-0.415427 -4.16668  400 
-7.999e-05 -4.34124  400 
 0.41658 -4.5212  400 
 0.559524 -4.58334  400 
 0.83324 -4.69711  400 
 1.2499 -4.87298  400 
 1.54545 -5  400 

# Contour 13, label: 
 3.07401  4.99984  400 
 3.3332  4.88148  400 
 3.74986  4.69452  400 
 4.00201  4.58318  400 
 4.16652  4.50718  400 
 4.58318  4.31672  400 
 4.91959  4.16652  400 
 4.99984  4.12902  400 


# Contour 14, label:      350
-5 -1.77659  350 
-4.58334 -1.96745  350 
-4.33499 -2.08338  350 
-4.16668 -2.15826  350 
-3.75002 -2.34553  350 
-3.41493 -2.50004  350 
-3.33336 -2.53591  350 
-2.9167 -2.71952  350 
-2.50004 -2.90907  350 
-2.48323 -2.9167  350 
-2.08338 -3.08959  350 
-1.66672 -3.27509  350 
-1.53674 -3.33336  350 
-1.25006 -3.45587  350 
-0.8334 -3.63727  350 
-0.57883 -3.75002  350 
-0.41674 -3.81848  350 
-7.999e-05 -3.99576  350 
 0.390518 -4.16668  350 
 0.41658 -4.17756  350 
 0.83324 -4.35069  350 
 1.2499 -4.52891  350 
 1.37651 -4.58334  350 
 1.66656 -4.70218  350 
 2.08322 -4.87586  350 
 2.37554 -5  350 

# Contour 15, label: 
 2.29388  4.99984  350 
 2.49988  4.90642  350 
 2.91654  4.72009  350 
 3.22954  4.58318  350 
 3.3332  4.53559  350 
 3.74986  4.34539  350 
 4.15395  4.16652  350 
 4.16652  4.16068  350 
 4.58318  3.96667  350 
 4.99984  3.77895  350 


# Contour 16, label:      300
-5 -1.39845  300 
